 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1980   115.2   122.3   204.5   192.4   209.2    56.6    53.6    70.8   197.1   285.9   253.9   136.2   606.1   181.0   736.9   413.4  1897.6
 1981   156.4   120.9   192.0   210.6   133.1    58.1    49.7   108.0   169.3   315.8   277.2   112.1   535.6   215.8   762.3   393.5  1903.1
 1982   168.6   112.8   179.6   158.7   134.4    57.4    57.5    71.2   152.0   270.2   257.0   180.6   472.7   186.1   679.2   398.9  1800.0
 1983   119.3    99.0   161.0   203.5   173.5    67.3    54.2    57.7   141.9   235.1   224.8   219.2   538.0   179.1   601.8   438.5  1756.5
 1984   124.3    95.0   177.2   215.4   242.4   189.4    74.1   261.3   298.5   394.7   251.3   162.7   635.0   524.9   944.5   414.6  2486.4
 1985   155.6    96.3   215.3   227.5   183.8    61.0    62.4    64.4   194.6   472.1   251.3   212.5   626.6   187.8   918.0   462.3  2196.9
 1986   115.6   134.1   227.6   205.3   215.4   108.5    63.0    91.2   115.0   278.3   268.8   160.9   648.3   262.7   662.1   453.8  1983.7
 1987   134.0   158.9   167.4   242.1   189.6    80.5    44.0    88.9   161.8   241.0   271.1   155.0   599.0   213.4   673.9   407.7  1934.3
 1988   151.7   101.0   234.5   266.6   294.4   309.1    81.7   142.1   149.1   413.9   306.3   225.3   795.5   532.9   869.4   434.9  2675.8
 1989   112.6    97.0   179.6   209.1   369.1    68.0    36.9    81.5   172.3   428.5   294.3   164.8   757.8   186.3   895.0   422.0  2213.7
 1990   161.7    95.5   130.7   190.2   321.3    69.6    74.9    87.0   226.9   396.4   247.8   237.9   642.2   231.4   871.1   511.8  2239.9
 1991   142.2   131.7   215.3   215.7   296.0   106.5   145.5    64.9   100.4   259.9   230.5   140.9   727.0   316.9   590.7   343.2  2049.4
 1992   117.1    85.2   196.6   224.6   199.9    60.8    43.4    51.3   182.6   241.5   267.7   165.8   621.1   155.5   691.8   457.5  1836.5
 1993   173.5   118.2   208.3   200.2   218.7    63.5    89.1    68.3   126.3   279.7   296.8   187.2   627.2   220.8   702.8   379.6  2029.6
 1994    99.5    92.9   183.0   205.6   223.2    66.3    94.2    58.6   183.9   383.2   246.4   190.9   611.8   219.1   813.5   441.4  2027.8
 1995   136.7   113.8   209.7   195.6   206.7   116.6    75.0    95.8   177.9   409.3   249.5   198.0   612.0   287.3   836.7   463.7  2184.6
 1996   129.2   136.6   236.3   252.5   310.8    87.8    63.1    57.2   165.3   385.1   310.7   133.5   799.6   208.1   861.1   359.0  2268.1
 1997   123.3   102.2   172.1   257.9   232.5    74.4    95.6   148.3   200.6   255.7   312.3   222.3   662.6   318.2   768.5   475.1  2197.2
 1998   131.4   121.4   192.5   208.9   227.7   237.5    68.6   161.7   274.2   298.8   246.9   173.1   629.1   467.8   819.9   495.7  2342.6
 1999   151.4   171.2   195.0   224.4   260.6    92.3    68.6   276.0   258.2   292.5   267.3   152.6   680.0   436.9   818.0   470.8  2410.1
 2000   176.6   141.6   207.6   191.7   211.8   106.2    84.4   186.4   190.9   348.9   319.4   173.7   611.1   376.9   859.2   465.2  2339.1
 2001   166.6   124.9   191.5   114.9   339.3   365.7   170.1    66.6   194.1   310.8   186.2   136.2   645.7   602.4   691.1   405.9  2366.9
 2002   121.7   148.0   200.2   252.8   283.3   401.4    32.6   147.2   236.8   321.4   260.4   182.0   736.3   581.2   818.6   524.8  2587.7
 2003   203.5   139.3   163.4   195.1   159.0   213.7    71.0    81.4   235.7   343.2   205.2   136.2   517.5   366.1   784.2   405.7  2146.8
 2004   132.8   136.8   155.8   196.9   133.5    71.2    59.4   116.6   360.6   391.5   142.3   207.5   486.2   247.3   894.4   479.5  2104.9
 2005   128.0   143.9   178.5   167.0   122.5    54.3    40.9    63.7   166.2   297.7   251.7   185.4   467.9   159.0   715.6   417.3  1799.9
 2006   130.4   101.4   130.1   245.3   143.4    58.1    72.0    70.5   174.9   285.4   295.5   202.7   518.7   200.6   755.8   464.5  1909.6
 2007   124.6   137.3   202.8   206.3   455.1    82.4   129.9   110.2   360.4   384.2   263.2   222.2   864.1   322.5  1007.8   537.0  2678.6
 2008   165.7   149.1   214.3   208.4   277.0    50.9    33.5   102.3   241.1   422.8   196.2   197.7   699.8   186.6   860.1   474.1  2259.0
 2009   134.8   141.6   191.5   212.8   337.1    95.6    41.7    70.1   127.0   335.0   249.0   190.1   741.4   207.4   711.0   521.7  2126.3
 2010   170.1   161.5   196.4   154.6   111.5    69.9   116.9    62.7   130.9   322.9   212.7   141.6   462.6   249.5   666.6   431.7  1851.8
 2011   145.3   144.8   191.8   198.6   148.9    56.8    43.0    70.0   178.3   483.3   258.3   130.6   539.3   169.8   920.0   441.1  2049.9
 2012   145.3   165.2   197.3   181.7   187.6   164.7    68.0   307.1   256.0   428.9   220.3   174.3   566.7   539.8   905.2   450.1  2496.6
 2013   148.8   127.0   268.0   173.2   202.4    74.9    67.0    97.7   106.7   335.3   235.4   216.1   643.6   239.6   677.4   466.3  2052.5
 2014   148.7   101.5   202.0   213.2   235.1   108.1    53.2    83.5   159.4   281.9   258.3   206.1   650.3   244.9   699.6   490.9  2051.1
 2015   134.8   149.9   180.6   225.6   211.3   111.1    67.0    66.0   113.9   218.5   232.0   178.2   617.5   244.1   564.3   462.4  1888.9
 2016   166.0   118.2   209.4   230.0   204.1   112.0    67.5    97.7   176.3   203.7   255.2   144.5   643.5   277.1   635.2   408.6  1984.6
 2017   140.6   123.5   200.5   232.3   232.8    75.8    67.7    97.8   175.9   341.9   217.3   186.6   665.6   241.3   735.0   538.4  2092.6
 2018   177.5   174.3   210.2   189.7   280.5   107.7   110.1    63.0   246.9   223.9   267.8   204.7   680.3   280.8   738.6   482.3  2256.2
 2019   150.6   127.0   201.5   230.0   233.7   108.7    68.1    99.9   176.6   334.1   261.9   186.8   665.1   276.7   772.7  -999.0  2178.9
